Column1,Name,Country,Sales($),Profit($),Assets($),Market Value($)
0,JPMorganChase,United States,2.529E+11,50000000000,4.0907E+12,5.881E+11
1,Berkshire Hathaway,United States,3.69E+11,73400000000,1.07E+12,8.991E+11
2,Saudi Arabian Oil Company (Saudi Aramco),Saudi Arabia,4.891E+11,1.169E+11,6.615E+11,1.9193E+12
3,ICBC,China,2.238E+11,50400000000,6.586E+12,2.152E+11
4,Bank of America,United States,1.833E+11,25000000000,3.2738E+12,3.073E+11
5,Amazon,United States,5.907E+11,37700000000,5.31E+11,1.9221E+12
6,China Construction Bank,China,1.998E+11,47000000000,5.4038E+12,1.875E+11
7,Microsoft,United States,2.366E+11,86200000000,4.843E+11,3.1231E+12
8,Agricultural Bank of China,China,1.935E+11,37400000000,5.8329E+12,1.709E+11
9,Alphabet,United States,3.179E+11,82400000000,4.074E+11,2.1777E+12
10,Toyota Motor,Japan,3.119E+11,34200000000,5.954E+11,2.749E+11
11,Apple,United States,3.816E+11,1.004E+11,3.374E+11,2.9115E+12
12,Bank of China,China,1.733E+11,32100000000,4.6571E+12,1.457E+11
13,ExxonMobil,United States,3.319E+11,32800000000,3.779E+11,5.367E+11
14,HSBC Holdings,United Kingdom,1.449E+11,22200000000,3.0005E+12,1.664E+11
15,Wells Fargo,United States,1.201E+11,18800000000,1.9592E+12,2.129E+11
16,Shell Plc,United Kingdom,2.897E+11,17900000000,4.02E+11,2.285E+11
17,PetroChina,China,3.991E+11,22700000000,3.881E+11,1.776E+11
18,UnitedHealth Group,United States,3.795E+11,15400000000,2.842E+11,4.829E+11
19,Walmart,United States,6.573E+11,18900000000,2.541E+11,5.211E+11
20,Samsung Electronics,South Korea,2.024E+11,14900000000,3.498E+11,3.88E+11
21,Chevron,United States,1.95E+11,20300000000,2.617E+11,2.998E+11
22,Goldman Sachs Group,United States,1.167E+11,9400000000,1.6984E+12,1.508E+11
23,Meta Platforms,United States,1.427E+11,45800000000,2.228E+11,1.197E+12
24,TotalEnergies,France,2.126E+11,21500000000,2.831E+11,1.712E+11
25,Morgan Stanley,United States,99800000000,9500000000,1.2285E+12,1.629E+11
26,RBC,Canada,90100000000,11300000000,1.4778E+12,1.504E+11
27,Citigroup,United States,1.639E+11,7800000000,2.4325E+12,1.222E+11
28,Ping An Insurance Group,China,1.361E+11,11800000000,1.6548E+12,1.055E+11
29,China Mobile,Hong Kong,1.427E+11,18700000000,2.81E+11,2.041E+11
30,Allianz,Germany,1.482E+11,9700000000,1.0568E+12,1.138E+11
31,BNP Paribas,France,1.576E+11,11100000000,2.8627E+12,88900000000
32,Verizon Communications,United States,1.34E+11,11300000000,3.802E+11,1.686E+11
33,China Merchants Bank,China,70600000000,20300000000,1.594E+12,1.274E+11
34,UBS,Switzerland,81300000000,28900000000,1.6071E+12,97400000000
35,Santander,Spain,1.428E+11,12300000000,1.944E+12,82100000000
36,AT&T,United States,1.223E+11,13600000000,3.994E+11,1.248E+11
37,Tencent Holdings,China,86200000000,18300000000,2.278E+11,4.723E+11
38,Mitsubishi UFJ Financial,Japan,74000000000,10300000000,2.6674E+12,1.172E+11
39,Comcast,United States,1.219E+11,15400000000,2.636E+11,1.541E+11
40,Alibaba Group,China,1.313E+11,11200000000,2.442E+11,2.008E+11
41,Sinopec,China,4.149E+11,8500000000,2.897E+11,1.068E+11
42,Volkswagen Group,Germany,3.486E+11,16300000000,6.72E+11,65600000000
43,TD Bank Group,Canada,80200000000,8900000000,1.4303E+12,1.015E+11
44,Johnson & Johnson,United States,89700000000,17500000000,1.72E+11,3.722E+11
45,Taiwan Semiconductor,Taiwan,71500000000,27300000000,1.809E+11,6.72E+11
46,BP,United Kingdom,2.028E+11,9200000000,2.754E+11,1.044E+11
47,LVMH Moët Hennessy Louis Vuitton,France,93100000000,16400000000,1.587E+11,4.239E+11
48,Reliance Industries,India,1.088E+11,8400000000,2.105E+11,2.331E+11
49,Nestlé,Switzerland,1.035E+11,12500000000,1.504E+11,2.721E+11
50,AXA Group,France,1.094E+11,7600000000,6.84E+11,81600000000
51,Mercedes-Benz Group,Germany,1.643E+11,14400000000,2.885E+11,77100000000
52,American Express,United States,69500000000,8900000000,2.693E+11,1.747E+11
53,Petrobras,Brazil,99400000000,22300000000,2.132E+11,92600000000
54,State Bank of India,India,71800000000,8100000000,8.074E+11,87600000000
55,Bank of Communications,China,78800000000,13100000000,1.9825E+12,59200000000
56,Postal Savings Bank Of China (PSBC),China,80300000000,11300000000,2.2597E+12,58100000000
57,Tesla,United States,94700000000,13700000000,1.092E+11,5.66E+11
58,Procter & Gamble,United States,84100000000,15100000000,1.196E+11,3.957E+11
59,Stellantis,Netherlands,2.049E+11,20100000000,2.233E+11,65000000000
60,BMW Group,Germany,1.683E+11,11600000000,2.747E+11,65800000000
61,Deutsche Telekom,Germany,1.215E+11,4800000000,3.188E+11,1.191E+11
62,Sumitomo Mitsui Financial,Japan,61300000000,6700000000,1.9508E+12,80900000000
63,CVS Health,United States,3.613E+11,7300000000,2.497E+11,72400000000
